Times_serviced,Total_service_pay,Average_service_pay,Loyal_or_Disloyal,Loyal,Service_time,Commercial_electronic_messages,Model_year,Number_of_years,Customer_cost,Rate,Number_active_cars,number_historic_cars,odometer_reading,Income,province,Term,Total_monthly_payment,Total_pay,Warranty_pay,Age,Days_since_last_service,Used_or_New,product_category
20,4912.010056,245.6005028,0,Disloyal,3,1,2018,15,969.75,1.25,3,4,171949,171949,1,52.5,1260,66150,4265.467458,39,1117.916667,0,0
4,0,0,0,Disloyal,5,0,2015,12,276.47,2,2,2,111845,111845,1,54,587.5,31725,4263.294482,56,932.8333332,0,0
28,2462.949966,87.96249879,1,Loyal,1,0,2016,13,0,0.75,1,2,71311,71311,1,60,1400,84000,4260.154541,37,904.7916667,0,0
25,1603.22998,64.1291992,1,Loyal,5,0,2016,13,0,0.75,2,1,52790,52790,1,48,939,45072,4259.136,71,904.7916667,1,0
22,5968.480057,271.294548,0,Disloyal,8.5,0,2016,13,188.15,0.75,3,6,90563,90563,1,60,528,31680,4257.141046,56,1015.333333,0,1
5,913.9500275,182.7900055,0,Disloyal,1,0,2018,15,0,0.75,2,1,46969,46969,1,42,1060,44520,4250.242571,56,658.8125,0,1
13,4103.409996,315.6469228,0,Disloyal,1,0,2013,10,0,0,1,3,59961,59961,3,36,629,22644,4246.871887,56,1926.833333,0,0
13,3325.999958,255.8461506,0,Disloyal,4.5,1,2015,12,0,1.25,2,2,103215,103215,4,60,747,44820,4243.669446,36,751.2916667,0,0
7,736.6300049,105.2328578,0,Disloyal,5,1,2017,14,0,0.75,1,4,40440,60000,1,48,532,25536,4241.843,56,456.8333333,0,0
11,457.9200134,41.62909213,0,Disloyal,1,0,2016,13,0,0.75,1,4,38871,60000,1,45,1110,49950,4241.391098,64,999.7916667,0,0
22,6315.779922,287.0809055,0,Disloyal,1,0,2012,9,4714.56,0.75,2,3,85774,85774,3,60,1083,64980,4238.682092,64,1331.791667,0,1
